10 100 4
4 2 7 6
8 -9 -6 7
-9 -10 3 -1
10 -3 -1 5
-3 2 1 7
10 -8 -6 -2
-5 -4 10 -1
3 10 6 -2
6 -5 1 4
9 -5 -8 -4
7 1 -2 8
8 4 -5 -10
8 5 6 -3
-8 -1 7 10
6 -2 9 -10
6 5 -7 4
4 -8 -1 -5
6 10 1 -2
-1 -2 -3 10
-4 -5 2 -9
2 -5 10 6
4 9 -3 -7
10 -1 -9 3
-2 5 8 -7
-4 7 -2 6
7 -9 -2 5
-7 9 -8 1
-7 3 -5 -2
7 6 -9 5
1 -7 -2 -8
-7 -3 1 10
2 10 3 1
-5 -10 -6 9
1 -7 4 -6
9 -7 4 -10
-4 2 -10 -1
-2 -8 -5 -10
2 4 6 -7
-4 6 3 -8
4 -10 -1 -2
4 5 3 9
8 -7 4 6
8 7 -9 -2
-6 2 3 10
-1 10 6 -8
4 -5 -10 -9
-3 -10 -2 4
10 -8 7 9
7 2 5 -8
2 -6 7 3
10 4 1 2
9 8 2 5
3 6 -7 10
-6 -1 4 2
9 -7 -5 -2
2 3 6 -10
-7 5 1 9
-6 7 5 -1
-3 1 8 -4
4 2 8 -10
7 -5 -6 9
-6 5 3 -1
-2 10 6 3
-3 -7 -9 10
7 3 6 5
6 4 7 10
8 3 -4 -9
5 -7 -1 -2
-8 1 -7 2
8 -4 10 -3
1 -8 9 5
9 -7 2 -4
1 8 7 -10
7 9 1 -4
-2 -7 -4 3
-2 -5 10 -4
6 3 4 -7
5 -6 4 -7
-4 1 5 7
-1 -10 -2 3
-1 4 -6 -9
-7 -2 -6 8
9 -5 3 -10
-9 -7 5 1
4 -6 -1 -5
-4 1 -8 -10
3 -10 5 2
5 9 2 10
8 -2 -6 -5
10 -1 -2 6
-1 -8 -10 -4
-5 -9 -7 -4
10 2 4 -9
3 -7 10 -6
-5 2 -4 -9
5 1 -6 -4
-9 7 -2 -8
-8 -7 5 1
5 2 10 1
-7 9 8 5
