10 60 4
4 -5 10 6
-3 7 2 6
-3 -1 10 8
-6 10 -5 9
-2 9 -10 3
-10 2 3 -8
-8 -3 10 1
3 -4 1 -7
3 1 -4 8
-6 4 -1 -7
5 6 7 -2
-3 5 -7 4
-3 -10 -9 -5
-8 -1 -4 -7
1 -9 -5 6
-7 8 10 2
-10 3 4 5
-10 -9 -3 -5
8 2 -7 1
8 2 -1 -7
-3 7 9 8
-1 -10 -6 -5
-4 -3 6 -8
-5 -10 -7 -3
-4 10 7 -1
-2 -7 -4 -8
6 1 9 -2
-6 -10 2 -9
-6 -3 5 7
5 -2 8 7
-9 -10 -1 3
7 4 -6 3
-1 3 -6 -5
10 -3 -6 -7
1 -5 2 -10
1 10 -5 4
-8 5 10 2
6 5 -7 -3
4 8 3 10
7 -10 -1 -3
-3 -10 -4 5
-7 4 -2 3
-4 2 -7 5
5 7 3 -9
-1 -8 4 3
10 -9 -8 6
-7 -10 5 -4
10 -3 -4 9
-10 -5 -4 -3
-1 -8 -4 9
7 2 6 8
-8 -6 -10 -5
-6 -4 -5 8
-5 -4 7 -8
-8 4 -9 5
-1 2 -10 3
7 -4 -9 8
-8 6 -9 -7
1 -6 3 -2
-1 -7 6 8
