10 80 4
10 -5 -4 7
2 -1 8 -9
5 4 7 10
7 -5 -1 -8
1 -8 2 -4
4 -2 -7 3
9 -10 -4 -3
-10 5 4 8
-9 6 7 -5
7 9 -3 5
-5 7 -3 4
-5 -3 2 4
2 -1 6 3
-4 -5 -1 7
1 2 4 -9
-10 -8 -5 6
-2 1 5 8
5 8 1 7
-1 -7 3 8
-6 -3 -5 10
-6 4 8 -7
-3 7 -4 10
2 -1 -7 10
5 -2 -9 10
2 5 1 -10
-6 -9 5 8
9 -1 -10 -8
8 -7 5 2
-1 -8 -2 6
-5 -10 8 -6
9 -10 -2 7
-4 9 -1 8
1 -3 -5 4
-7 10 -1 -9
-10 -4 2 6
-9 -2 -8 -6
5 -4 -3 6
-7 -5 2 -10
-6 8 -4 3
-8 2 5 1
9 -6 -8 -4
3 8 6 7
-1 -8 -7 9
-7 -5 1 4
-10 -7 5 3
8 -10 -9 6
-3 -4 9 10
-7 8 1 5
1 8 4 -2
-3 5 -6 2
9 -10 6 -7
7 3 -9 -5
10 -2 1 9
-3 -4 -2 -6
-7 -9 5 -8
-6 -1 9 -8
6 -10 7 -5
-9 -8 5 -4
6 -3 1 -2
8 1 -3 -2
10 3 1 -6
-10 4 8 9
7 3 1 -8
-3 -1 9 8
1 -2 8 10
-1 6 -5 9
-6 -10 -4 -8
-1 2 -6 10
9 2 -7 8
-4 10 5 -9
5 1 10 -2
-5 -7 9 -2
4 7 6 8
3 -1 -8 4
5 1 10 -3
1 7 -8 -4
2 9 8 -3
-5 1 -2 -9
3 2 1 -8
5 -6 -2 -10
