10 110 4
-3 7 9 -2
-3 7 -1 6
3 4 -1 6
-9 -3 -2 -4
7 -4 10 -5
6 -3 9 -4
-6 9 5 -10
-6 3 -2 10
1 4 -10 -8
-4 -8 -9 -10
6 -5 -7 4
10 -6 -9 -7
6 3 7 2
5 -1 -7 4
-2 4 10 -1
3 -6 7 1
7 10 -2 -3
-2 4 -1 -3
1 -3 -8 6
7 -9 4 -2
10 -7 5 9
7 10 2 8
9 -5 3 -6
10 7 -6 -9
-4 5 -7 1
2 1 10 6
7 3 5 6
-4 -5 -1 10
-5 -3 8 4
-5 2 -9 -7
3 4 -10 2
-2 1 -9 -8
-10 -3 2 8
-4 2 -6 5
9 -1 -4 -2
7 8 -1 5
3 2 5 -8
-1 8 10 -5
-9 2 -4 7
-7 10 5 3
1 8 -4 -7
4 -6 8 -2
-4 2 8 -7
1 -6 5 -8
6 -5 4 8
-6 -9 8 -4
-9 -4 -5 8
-6 -8 -2 -7
10 9 -8 -6
-3 4 7 6
-5 3 6 7
7 -3 -5 1
2 5 3 -9
8 10 5 1
9 -3 -6 5
9 -1 -5 3
-4 10 -2 -3
-9 1 -4 -6
9 2 -7 10
-9 6 2 -5
1 2 8 -9
-6 7 -4 -2
-1 4 5 9
6 -4 -3 -1
7 -3 -5 8
-1 -10 2 -8
-5 9 -3 1
1 -8 10 2
-8 -4 3 10
3 -1 2 -9
-2 8 4 -9
-4 -1 9 2
-8 -9 5 -7
-9 -6 1 4
-7 9 -5 -1
8 4 -1 -7
7 9 -6 8
5 -6 10 7
-2 -1 -4 -10
5 8 6 1
1 4 6 -3
-2 9 8 5
-4 9 -10 1
3 8 -2 7
9 2 6 10
5 -9 -3 6
-7 2 4 6
-1 3 4 7
9 2 -6 -5
-6 4 -8 -9
6 8 2 -1
-8 -10 5 -7
1 4 -5 7
1 -6 7 -9
4 7 -5 1
-5 4 -10 3
-8 7 9 3
-8 6 -2 1
2 3 -8 -4
-1 7 3 -6
5 -9 1 4
3 -2 5 -4
-8 1 5 -2
9 10 8 -5
-5 1 -2 -7
-10 -4 -5 -9
-8 2 -10 -3
6 -4 10 3
9 5 -6 -7
10 -9 8 -2
