10 60 4
5 10 -4 -1
5 -6 8 -4
5 3 -2 7
1 6 -10 5
10 -1 3 2
9 -3 7 -6
-1 -7 -4 -2
6 -2 -9 -7
-4 -6 -5 -7
7 -10 4 -6
1 8 7 -6
-10 -5 6 -3
-4 8 -1 5
9 -7 -3 -2
5 3 8 -7
-2 5 6 8
3 4 -9 -8
5 -9 7 8
-7 10 6 -9
9 -1 -5 8
-5 -6 4 9
2 -6 7 4
2 5 -1 -4
-6 -1 8 -9
-4 5 9 -2
-8 -9 5 -4
6 -3 -10 -9
-9 4 5 -8
-1 6 9 5
-2 -7 -3 1
-3 5 9 -7
6 9 -10 -2
2 -9 7 4
-3 10 -2 9
10 -5 -7 2
-8 -7 -1 10
1 -4 3 10
4 9 6 -10
-10 4 -2 9
-2 -10 -6 9
-2 3 10 -5
4 8 -6 -5
-1 2 -6 -8
-1 -4 -10 -3
6 4 9 7
-2 9 8 -5
-1 6 2 -7
-10 -3 -4 -6
2 -3 -4 -10
4 -8 -5 6
8 -7 2 10
-5 3 -1 7
-3 10 7 8
4 -3 -10 -8
6 1 3 -9
-5 8 -4 -10
-9 10 1 7
-5 1 -9 8
-10 5 -8 -3
6 4 -7 -5
