10 50 4
-3 -1 -9 -10
7 6 3 -2
-6 -7 1 2
-7 -10 -5 -3
5 -4 3 1
-1 4 8 10
-4 -2 -8 -5
9 3 -10 5
6 -2 -7 -10
-3 9 7 6
-1 -3 -4 10
-7 6 -10 -8
5 -10 1 4
-6 7 -10 3
-3 -5 -10 -4
2 -6 9 -5
1 8 4 6
-4 6 -10 8
-4 -9 3 -5
8 -5 -7 -10
-4 -8 7 -9
3 -7 -9 -2
-4 9 -3 -6
-2 10 6 -3
-4 1 3 9
-9 -2 -5 -8
-10 -3 1 -4
-1 9 3 8
-1 2 -4 3
3 9 -6 -1
-6 1 -5 -8
-5 -7 1 8
-5 -10 -1 6
5 1 3 -6
10 3 9 -5
-5 3 10 -4
5 -4 -1 -7
-10 -7 9 -5
-8 -4 -6 1
3 8 1 2
10 -6 9 -7
6 -5 -9 -8
6 -2 -7 -5
5 10 -7 6
-9 3 -8 2
2 3 -6 8
3 -10 2 9
4 -3 -7 -8
7 4 8 -5
9 -4 5 -3
