10 50 4
4 -9 5 -8
-7 10 1 -5
9 3 7 10
10 2 9 -1
1 -6 9 2
5 2 -8 4
-6 -3 -2 10
5 9 7 10
-10 1 9 5
-7 -8 4 6
7 -2 8 1
-3 -10 -2 9
-1 6 5 4
-1 7 -3 4
-7 3 1 -2
-7 10 -6 8
6 4 -1 -3
2 1 10 -4
-9 5 -7 2
8 -3 -10 -2
2 9 -10 4
-10 4 2 9
3 9 -7 10
1 -9 10 -2
2 -4 -10 3
-3 -9 -4 5
7 9 4 -5
-10 -8 -7 -4
-10 -9 -5 2
-8 -2 7 10
10 -7 -1 -8
-7 9 2 -6
-4 -7 6 -8
-1 -10 -7 5
-2 -6 -10 -7
2 5 -4 6
-3 10 6 4
-2 4 5 8
-7 -8 -9 -3
-8 1 -7 -4
-4 2 -10 7
-1 8 -4 -6
7 -8 3 2
-9 7 -1 -10
9 1 -7 -2
-7 -1 8 -9
6 7 3 -9
1 -10 7 -4
-1 5 -6 -10
-7 -1 3 9
