10 100 4
-10 -6 -5 -3
-5 4 7 2
-1 4 -3 2
-5 -8 -3 10
-5 10 2 1
7 8 5 10
2 -10 -9 -7
-3 4 -6 -5
3 10 9 5
10 -6 -2 -7
7 1 10 -9
-7 -4 5 -10
-8 -3 10 -1
4 10 -3 9
4 7 9 -5
-6 -7 -4 -5
-7 9 -6 -3
1 -4 5 6
-5 6 3 -1
6 9 7 10
10 -7 -2 -6
5 3 -6 -8
-4 -7 3 6
-2 -7 -3 -10
-8 4 -6 -9
10 2 -7 1
5 6 1 -3
3 -6 -5 -4
5 3 -7 -4
9 -8 -2 1
3 -9 7 10
-8 -1 -9 -5
-1 -4 3 7
-9 -5 -8 -7
9 5 6 8
8 -5 1 4
-3 -8 -9 -10
2 -8 1 7
5 8 -4 -10
9 -4 -7 5
6 -10 -1 3
-7 1 -8 -6
4 6 8 7
4 -6 -1 -10
-2 -8 5 7
-1 4 -5 8
-8 -4 7 -1
8 -7 -5 -2
-4 -9 2 -3
-8 -7 -6 1
4 -6 9 2
-4 10 5 8
5 9 -4 -3
-4 -2 6 -7
6 -4 -5 -1
-5 2 -7 4
4 -9 -2 10
2 7 10 8
-7 8 9 10
4 -9 3 10
-3 6 -7 5
3 6 2 1
-1 -8 10 3
8 -9 7 -5
-1 10 -8 2
6 -8 -7 -5
9 -6 7 -4
3 -2 -10 5
-2 6 4 -3
-2 9 3 6
-9 -7 1 10
-8 6 5 -2
2 7 8 10
6 -1 3 -5
2 -7 10 1
-1 -10 5 -7
-9 -1 -2 10
1 -3 -7 -5
-1 -8 -2 9
10 -7 -3 -4
5 6 -1 -10
-10 -6 -9 -1
-9 10 -3 2
-7 -8 -2 4
10 -4 7 1
-6 -2 9 -10
-9 8 -5 -4
10 -5 3 4
-9 -5 6 8
-9 4 6 -8
5 9 -1 -6
10 6 2 1
8 3 4 1
-9 4 -2 1
6 8 -4 -5
-2 9 -8 -10
2 -6 -5 9
-9 -2 -7 4
-10 6 -7 -3
9 -7 4 -8
