10 70 4
7 -2 8 1
-3 -10 -2 9
-1 6 5 4
-1 7 -3 4
-7 3 1 -2
-7 10 -6 8
6 4 -1 -3
2 1 10 -4
-9 5 -7 2
8 -3 -10 -2
2 9 -10 4
-10 4 2 9
3 9 -7 10
1 -9 10 -2
2 -4 -10 3
-3 -9 -4 5
7 9 4 -5
-10 -8 -7 -4
-10 -9 -5 2
-8 -2 7 10
10 -7 -1 -8
-7 9 2 -6
-4 -7 6 -8
-1 -10 -7 5
-2 -6 -10 -7
2 5 -4 6
-3 10 6 4
-2 4 5 8
-7 -8 -9 -3
-8 1 -7 -4
-4 2 -10 7
-1 8 -4 -6
7 -8 3 2
-9 7 -1 -10
9 1 -7 -2
-7 -1 8 -9
6 7 3 -9
1 -10 7 -4
-1 5 -6 -10
-7 -1 3 9
-2 1 5 -10
9 -10 -3 -6
-5 4 -8 9
6 7 10 4
4 7 -9 -8
6 -1 -5 -9
-1 -10 -7 -2
-6 -2 -4 -7
2 -6 10 -4
-6 -4 9 -1
-9 10 -5 1
1 -10 -6 5
9 -3 6 -2
9 -2 6 8
-4 -3 1 -10
9 5 -3 8
-8 4 -7 1
-5 -9 -6 -2
3 9 -7 -4
4 -10 8 7
4 -8 -7 -6
5 6 1 -4
4 9 6 -3
-7 3 10 6
10 1 -8 -7
7 -6 9 2
3 -9 2 8
-2 10 -4 -9
1 9 -6 10
-4 -6 9 -2
