10 70 4
3 -1 9 6
5 7 1 6
-3 6 5 -4
1 7 4 -10
10 1 3 6
6 3 -9 2
1 4 -7 -5
-5 -9 7 6
-10 -2 7 9
1 -4 7 -8
8 -6 1 -9
2 9 -8 7
-7 -6 -10 -2
10 2 -5 -1
9 1 5 -7
-10 5 7 6
-8 -6 -10 7
-2 -8 7 1
-6 -2 1 3
-6 3 -10 -2
10 3 -2 1
-1 -5 -6 10
10 -8 3 9
2 -9 -1 3
7 10 9 -5
7 5 -10 9
-1 -9 -7 -10
3 4 6 7
10 6 5 -1
4 6 -9 -1
8 10 6 1
4 -10 -2 -7
-2 -9 6 -5
-2 7 -6 8
4 -1 5 -10
-8 -1 3 -9
-8 -9 -7 -6
-1 3 -8 -4
6 -8 9 -5
6 -9 -5 -7
-10 -1 9 7
4 8 10 -5
-8 -9 10 -6
3 4 6 -9
3 -9 -1 -5
-6 -5 7 -8
-4 8 3 -7
-4 -8 7 -2
5 6 7 -1
3 -5 -10 -8
6 10 -2 4
-4 -9 -1 2
9 -3 -1 -5
-3 4 -7 5
9 -1 2 10
-2 10 -6 -3
8 4 7 10
-2 -5 3 4
4 10 5 6
-1 -9 3 2
4 -9 5 -8
-7 10 1 -5
9 3 7 10
10 2 9 -1
1 -6 9 2
5 2 -8 4
-6 -3 -2 10
5 9 7 10
-10 1 9 5
-7 -8 4 6
