10 100 4
-10 -5 8 -7
-7 9 -10 5
5 10 -8 -9
7 6 4 -3
8 -9 -7 -10
-5 -2 -7 -1
-8 1 6 3
6 3 7 10
10 -4 8 2
-1 3 4 -5
3 -1 -2 6
-5 3 9 10
-5 9 -10 1
1 10 -9 -2
-9 -4 -5 -10
-7 -4 10 3
-9 -4 -8 5
-6 3 1 -5
-8 9 3 2
7 -9 -2 -4
-9 -2 7 10
-7 -2 -4 -10
7 3 6 8
6 -3 -1 7
10 5 8 4
-3 9 2 5
1 -2 8 -6
-5 -2 9 -8
5 -3 -7 -6
9 3 2 -7
3 7 -6 -1
-2 -1 -4 6
5 -1 -3 -9
-1 -8 4 7
1 -7 -4 3
-8 -6 -3 -5
10 -4 3 -5
7 -9 8 4
2 1 -8 -4
1 9 -10 5
-7 8 -1 -10
9 -1 -2 6
-3 -8 1 -9
5 -1 -10 3
-3 -10 8 -5
-1 -4 -5 -3
4 -2 -8 6
2 -4 7 1
1 2 10 -9
5 9 -4 -6
1 -3 5 -6
-8 4 1 -3
3 1 -7 -9
4 7 -6 -8
3 2 6 -7
10 6 -9 -4
-8 6 -7 1
-1 -8 10 -2
-7 -9 -4 -2
-1 5 4 -8
-4 -10 2 6
-9 4 -8 -3
-3 -5 9 -4
-10 6 4 5
10 9 -1 -6
8 1 6 2
-6 5 2 -8
-8 3 -10 -5
-2 7 -4 -3
10 3 -8 4
-8 1 6 -9
6 9 -8 -4
-9 -3 -5 1
9 3 2 -10
-5 -9 -4 7
-4 3 -6 5
-8 3 -1 4
8 1 6 -9
-4 -7 -6 8
-5 7 9 -1
-6 -9 -3 -4
6 5 -10 -8
-3 9 5 1
-6 10 3 -8
-2 -3 1 -9
5 2 8 -1
10 4 -6 1
-3 8 10 4
-5 9 8 2
-3 8 7 -10
9 10 3 -5
4 -6 10 -2
-8 -9 6 -5
5 -9 3 1
8 6 10 4
9 -7 -6 -5
5 10 4 8
-7 -6 3 4
9 4 6 8
1 -5 -10 -2
