10 90 4
1 2 -10 4
2 8 9 -7
-10 -6 -5 -7
-3 4 2 -1
1 10 3 4
5 10 2 7
5 7 -6 -9
3 -6 9 10
4 3 -10 -7
9 -2 5 3
-3 -5 -8 4
8 -7 5 9
4 -3 7 8
7 -3 5 1
7 -8 -4 -2
2 -6 10 8
1 3 5 6
-9 -10 -1 3
-1 -9 -7 -3
1 2 9 -10
-6 -4 -1 10
8 -1 6 -5
6 -4 9 -10
-4 1 3 5
6 3 -8 -10
-6 4 -7 -9
2 -8 4 -5
-7 3 10 -6
3 -8 -4 10
-3 -5 -2 -4
-7 -9 4 -5
4 -7 10 8
3 -8 -2 4
1 7 2 5
-5 6 -4 1
-2 6 -8 -4
9 -10 -7 -5
-4 -5 -1 8
-6 1 -10 -4
-4 1 -7 -2
8 7 3 -6
10 6 -2 9
-1 -7 -8 3
-2 -7 5 6
-10 -3 -6 -8
9 5 4 -10
9 8 -4 -1
9 -5 -3 -6
-8 6 -2 -7
6 -2 9 -8
10 -3 5 -2
10 -6 2 -1
-5 -1 -10 -3
-9 1 -8 -10
-1 -3 -5 -4
7 -4 9 6
-3 -8 -9 6
-3 4 -6 -2
3 10 -6 -9
-8 -1 5 -9
-2 -10 -9 -1
-3 2 -6 -7
-6 10 -7 9
-8 1 6 -4
-4 -3 2 1
-7 -3 -6 9
-3 -9 7 -2
-3 4 -2 5
-5 -2 -1 6
-5 7 -4 1
-8 10 -9 -7
4 9 -1 -5
-5 -9 7 -10
1 -8 -2 6
4 -2 -10 6
-3 9 -8 -4
10 1 -9 4
7 -9 -2 -5
5 6 -3 -2
6 8 -10 3
-7 2 3 -9
10 9 -7 -5
-8 -5 9 4
-6 5 -4 -2
3 10 4 7
-4 -6 -9 -8
1 -2 -3 -7
-3 -4 10 -7
4 -8 7 2
3 4 -6 2
