10 70 4
10 4 3 7
-9 -1 -4 -6
4 9 -3 -6
-3 -1 10 8
-6 4 -3 -9
-7 -8 1 -2
3 -7 4 -8
-10 4 -6 -9
1 7 6 -2
-3 2 5 1
9 1 4 7
-5 -7 -6 1
-6 -9 3 -10
10 -4 -8 6
7 -2 10 6
5 8 1 9
8 -1 -3 -5
-10 -9 -1 6
-10 -5 3 -8
-6 -8 -3 1
9 -7 -5 2
-1 -3 4 -7
-1 10 -6 -7
-3 -6 -1 -5
-7 -4 -2 -10
5 -1 -9 7
6 10 -5 -9
2 -6 -5 10
8 4 -6 -5
9 -2 -6 3
1 7 5 9
4 -7 -10 -5
6 -2 1 -8
9 -7 2 -10
-8 4 3 -9
-5 8 -10 9
-10 5 4 -6
4 7 -8 10
10 7 2 -5
-3 -4 8 -5
-8 -10 4 -1
-1 -10 -4 2
4 -7 8 3
-8 -4 -3 9
-3 -7 4 -9
4 6 -3 9
-9 -10 -4 6
2 -7 -8 -3
6 -5 -10 -1
2 -9 6 -10
-3 -9 6 4
7 10 4 -2
-1 -8 10 -5
-4 10 -1 5
-10 8 -9 -6
7 6 -4 2
8 -5 4 9
-5 -6 2 -4
-1 -2 6 5
-10 -1 -8 -2
-4 -8 3 10
10 6 -4 2
8 9 10 4
9 -3 8 10
4 1 10 -9
4 10 -9 -3
-8 -9 7 5
6 -9 1 10
4 -7 -2 1
1 4 8 10
