10 80 4
-9 8 5 -1
7 2 -4 5
-3 4 -7 2
6 5 -3 9
6 -5 10 -8
7 -10 -8 5
1 3 -8 -5
2 -5 10 -8
10 -9 -5 -6
4 7 -3 1
6 -8 1 -5
6 -5 -10 -4
-8 -6 -9 3
9 -10 -7 4
-2 3 8 -9
5 -9 -6 -10
-3 1 -4 6
-5 -7 4 2
-6 -3 -10 8
-6 -9 -1 -3
-2 10 -3 4
-3 -2 -7 4
-7 -5 10 9
-9 -4 5 10
-6 -8 4 -1
10 -2 8 7
-6 -5 -10 2
-9 6 2 -10
-4 10 -5 1
10 9 8 -1
-5 -10 8 4
8 -7 -2 9
-1 -10 -8 -7
10 2 -1 -4
-3 1 2 -4
6 7 8 2
4 9 -7 5
-9 5 8 1
-8 -4 -5 -2
6 -2 -1 4
-3 -10 -2 -9
7 9 -3 -5
7 -1 -3 2
9 3 1 5
8 -7 -4 1
-6 4 -7 -10
4 -1 8 -3
5 -8 -2 1
-1 2 -4 8
3 8 -6 -10
10 -9 1 -8
-5 -7 -8 6
-6 -1 -2 9
3 1 8 -2
7 -4 3 1
-4 -2 -1 -10
-7 -9 -5 -1
1 2 4 -7
-2 5 3 -9
-4 -5 -1 -10
2 3 9 -10
-1 5 -8 7
8 6 9 3
10 -8 -7 -4
10 4 6 2
3 1 -4 -6
-4 -7 1 6
6 -10 8 9
7 3 10 -6
10 5 9 8
-6 -1 -4 -3
8 3 -6 5
2 9 4 10
7 -10 4 3
3 6 -4 -2
-2 9 8 -6
9 4 -10 2
-6 1 2 -9
-1 8 -4 6
2 5 7 10
