10 100 4
2 -1 7 -5
-4 -10 2 3
1 3 -8 4
3 -8 -6 2
7 5 2 8
-10 -6 -9 -4
1 -4 -6 9
-6 8 -1 -4
-5 8 2 9
10 -3 4 -5
5 -1 -2 -3
10 -1 -6 -5
-9 -7 -4 -5
-2 7 -9 -10
-6 -2 1 5
-2 -5 10 -1
-2 3 -7 -10
-6 5 -4 -8
9 -6 10 7
-8 -6 -1 -5
7 -8 9 1
-3 1 6 2
5 -9 -2 -10
-10 -7 -5 -9
1 -10 6 2
3 -9 8 7
-5 -6 1 -10
-6 -5 -1 3
2 -7 -8 5
1 -2 -7 -8
10 9 2 6
-7 -10 -9 5
9 7 2 -5
-1 4 9 6
6 -8 3 5
-7 -9 1 -4
-4 -7 8 -10
-2 9 -3 -7
9 10 3 2
-8 -2 -6 9
10 -6 -4 5
8 -10 1 -7
-6 1 5 4
3 2 7 -5
6 1 -4 -9
-8 9 1 10
5 -9 2 -6
5 -9 8 -10
2 8 -4 3
6 -4 5 -2
-4 7 1 -2
-1 4 6 -8
1 6 -3 -10
1 8 9 -6
7 1 9 -10
-5 10 -2 -8
1 10 -3 -2
-9 -1 5 -2
-4 10 9 -8
-7 5 2 10
6 -2 10 7
9 -8 1 4
-6 5 -8 9
9 3 -10 -4
-9 -8 -10 2
5 -6 -10 1
-3 4 -6 -7
-9 8 7 3
-7 10 -9 1
-4 9 -1 5
3 -10 5 8
-8 6 10 7
7 5 -3 -9
-4 -5 1 7
-6 -2 -4 7
-9 7 6 -1
7 4 -1 9
1 5 2 -6
-4 -7 -8 2
4 7 -5 -10
-6 7 1 -2
-1 10 -5 -4
8 -6 4 -10
-1 -10 3 -8
1 7 -6 5
-10 1 5 -6
-2 -4 8 5
8 -3 -1 -9
-4 1 6 -2
-1 2 10 -3
-4 10 -8 -7
-1 3 2 4
4 6 -9 -8
-1 -3 7 5
10 -1 4 6
-3 -1 10 -6
3 8 9 -5
-4 1 -10 -6
-9 -5 1 -8
-5 -6 -4 8
